Minisector,NOR,LEC,Fastest
0,323.27377531049916,316.6199274931677,NOR
1,326.53958332121215,324.28586132491654,NOR
2,322.36136378181817,327.59473043953636,LEC
3,199.35076321187304,205.59698944785202,LEC
4,115.83246220339517,116.18353751679872,LEC
5,267.4828997123643,262.9141406853861,NOR
6,304.47331614634635,297.4846160932362,NOR
7,315.3447464347826,314.25652718493967,NOR
8,277.7711205313269,292.7373394561844,LEC
9,140.35929599394385,141.0430570368208,LEC
10,218.12999090999284,219.2880151358097,LEC
11,207.72612891434224,210.6598103489434,LEC
12,192.57576738245615,191.40847390368936,NOR
13,269.71498555367737,262.4360476428232,NOR
14,307.2625773581781,300.7850196825397,NOR
15,323.2529810591721,318.70975440629076,NOR
16,263.2294110137566,265.64041942219916,LEC
17,198.380324777669,194.5058836510885,NOR
18,272.5965381813051,264.98065975428494,NOR
19,309.30941670273893,301.8631941333333,NOR
20,323.3698862060606,317.8532863613477,NOR
21,303.8848972888889,308.71805706666663,LEC
22,200.45095554202987,199.3395108779283,NOR
23,265.69597040878864,255.47931478095236,NOR
24,305.0250543281404,297.59115034368386,NOR
25,,311.96666666666664,LEC
