Minisector,LEC,PER,Fastest
0,251.23650705069554,253.310972329972,PER
1,218.55986115156355,208.9427999011183,LEC
2,200.32844894779387,201.6456452883503,PER
3,254.74079664789215,253.21879265322488,LEC
4,270.0268494099248,275.95134421778823,PER
5,287.392240806076,291.31131254400003,PER
6,166.18167863936438,158.16409310153972,LEC
7,177.49726626551566,177.01484625960515,LEC
8,266.57309046492753,269.9053362320098,PER
9,291.43592140432423,309.8933046977443,PER
10,303.66729703672723,325.9773532797178,PER
11,306.7611996790476,329.0492071830082,PER
12,117.03832392479363,125.12831470255558,PER
13,195.64355649182863,184.47197281970296,LEC
14,267.78914340685714,268.5107972057301,PER
15,293.0374883886384,294.41846862933335,PER
16,295.73017863999996,300.1079821323102,PER
17,187.8628828251009,185.9857715463845,LEC
18,216.1734123911111,219.79615371868132,PER
19,263.77547509174724,265.3346422750867,PER
20,153.65768823473923,149.32500094835683,LEC
21,145.3935858927992,145.61938647588076,PER
22,219.6610345181527,221.9987766846387,PER
23,229.73260993523812,225.22089337352426,LEC
24,157.77687776278873,159.4746622623321,PER
25,224.4249984,,LEC
