Minisector,HAM,VET,Fastest
0,279.0425385192311,279.70946879927953,VET
1,292.3485355284641,296.9842714388993,VET
2,287.32375650081724,296.4040194598194,VET
3,176.7182438928751,171.7140121715601,HAM
4,128.4400546438448,121.84148866118528,HAM
5,242.94230649039937,240.26850407217162,HAM
6,280.9951057213404,282.8295671794872,VET
7,286.1049604825397,293.2872867903224,VET
8,186.91943730498784,182.45546270050647,HAM
9,153.55374027687338,143.514234712902,HAM
10,256.2095986044001,253.8386644371074,HAM
11,291.32765581274447,290.5180475184762,HAM
12,299.07474906742596,301.53628423166646,VET
13,276.12256084436143,277.4715151309339,VET
14,292.8896904655238,294.4872718676415,VET
15,292.7946018177613,297.908166784,VET
16,248.9963345316656,257.649535895751,VET
17,232.95429794767622,221.28691434724576,HAM
18,278.03311285502645,274.5505630389708,HAM
19,294.1583185379172,296.7091237934562,VET
20,291.21050996877267,302.60022474362813,VET
21,234.6078320963415,234.24393106235738,HAM
22,264.99689834667964,257.5552652634334,HAM
23,144.77037699709234,145.58312990229646,VET
24,225.6962993858983,211.12607914639574,HAM
25,261.06666666666666,260.73333333333335,HAM
