Minisector,VET,RIC,Fastest
0,237.7417690810333,232.39772462222223,VET
1,286.99526535757576,280.53756712281574,VET
2,299.90884353741495,293.1590284204378,VET
3,305.6155410847494,295.5625000727273,VET
4,280.8042660713023,266.30168052529626,VET
5,169.65067222593183,177.73082959327732,RIC
6,264.1051455366588,258.2998838034116,VET
7,284.7706440242424,275.1056612753623,VET
8,219.66172942562525,225.79412362979204,RIC
9,219.9605235755102,217.59118430755558,VET
10,193.54259204582397,193.17470186961563,VET
11,226.80531630344828,224.57190465693122,VET
12,208.52713475655963,209.53174125958796,RIC
13,221.47033987699706,216.84412995993432,VET
14,230.82067919012346,224.2066938018881,VET
15,182.5308869573014,189.14467402795137,RIC
16,249.15288467692307,247.82311877648698,VET
17,294.17611242102913,287.53031763301584,VET
18,310.61719296,303.3032196848485,VET
19,308.042326235889,294.12431918004535,VET
20,130.0148198429421,134.00435903285194,RIC
21,166.96654493440224,167.19855942527118,RIC
22,157.3028860147174,155.19256824203194,VET
23,209.46427622465808,207.98597629247314,VET
24,145.83221766991144,147.4233642813788,RIC
25,,181.80000426666666,RIC
