Minisector,BOT,VER,Fastest
0,285.03783059504764,289.4844830347397,VER
1,164.51712161143539,158.44470148190476,BOT
2,155.0219409027613,151.946348965614,BOT
3,220.83378230204082,225.66006993794977,VER
4,280.2687504484848,284.7993248132728,VER
5,284.01840146666666,286.94803212554484,VER
6,149.16235345053673,143.51949296319196,BOT
7,144.82990567757577,142.8776233291592,BOT
8,145.2354829326257,144.9881130247764,BOT
9,192.76228353960636,190.03307951168424,BOT
10,130.7313900345967,132.16676374670365,VER
11,122.9382293425685,122.22084119506569,BOT
12,174.28531037877653,166.20697472024406,BOT
13,268.0104169333333,269.5672363873016,VER
14,285.43985658863744,291.24563474285713,VER
15,155.9459785738849,153.91826957278911,BOT
16,203.15727536625624,210.23735633465893,VER
17,183.33177617447566,170.25543668056628,BOT
18,273.0990336976566,272.5227731610766,BOT
19,293.2699529293802,297.24452794755376,VER
20,308.00122190828546,312.9360411809524,VER
21,316.7425739468271,325.3483926095238,VER
22,317.5761056103422,331.6526446909515,VER
23,322.77893511111114,334.19675917037034,VER
24,324.13172607238096,335.7275106239124,VER
25,320.0,334.1166666666667,VER
