Minisector,BOT,GIO,Fastest
0,301.85911426666667,302.4458932268534,GIO
1,303.39831106091253,306.56209622552376,GIO
2,160.62720950673244,155.0846093123928,BOT
3,228.10379166954093,224.81643080723114,BOT
4,275.8719894530141,283.333266659536,GIO
5,294.6372398400436,308.1166328952177,GIO
6,298.3892025785028,321.33312414175754,GIO
7,151.51725275100912,144.28620336624604,BOT
8,140.9494666738894,141.02156535183815,GIO
9,252.34709222539166,254.95491966090842,GIO
10,283.5175546427318,294.6792687259445,GIO
11,289.6166844998558,304.88792677816707,GIO
12,146.25718861048267,137.4348684781529,BOT
13,200.6652661421422,197.43631346913557,BOT
14,255.68079971667612,258.63218200380516,GIO
15,200.75456666950242,188.3473896828065,BOT
16,220.15393894936406,219.5677350885497,BOT
17,211.94381530936525,204.1909509231206,BOT
18,245.63948964496663,241.7826553662406,BOT
19,276.9048296252289,274.7927621830148,BOT
20,289.73619253663696,290.9858327537296,GIO
21,253.54970430609805,257.4831045377988,GIO
22,219.74890422992905,220.29414585300114,GIO
23,210.9448174925111,206.16996365460196,BOT
24,265.66520122358196,268.3907292933333,GIO
25,,290.51041599999996,GIO
