Minisector,RUS,COL,Fastest
0,293.44521872442687,288.735670447257,RUS
1,160.75869554821344,159.8198077132678,RUS
2,163.48386164952504,164.68822776041006,COL
3,244.9741257148718,239.32608511028297,RUS
4,268.9190251951561,274.6907522668078,COL
5,236.98360663042737,234.7279739305864,RUS
6,212.18425217460705,202.74415895241665,RUS
7,143.17310478523342,138.65999057567413,RUS
8,228.9632963095994,226.60892584972927,RUS
9,304.7880515487831,298.8704348556204,RUS
10,324.70435258164747,320.056823629734,RUS
11,330.6063155957895,321.459765692731,RUS
12,326.69613441791944,312.8189474031746,RUS
13,321.8130494036105,306.22059732119953,RUS
14,127.91400335779471,132.11839494832913,COL
15,113.6127404831656,118.0002779026658,COL
16,98.07087887840433,97.60048143853446,RUS
17,241.57525292698412,235.8986295155388,RUS
18,307.3662773672879,302.08569657263155,RUS
19,328.1924433347369,318.1439778647623,RUS
20,328.2773629281937,314.1701820737255,RUS
21,324.7221601647118,310.85976217620646,RUS
22,124.64764200905826,121.72740232700755,RUS
23,202.7469480399186,191.30811134379837,RUS
24,276.2651328522191,272.9418302353824,RUS
25,285.0,282.71874986666666,RUS
