Minisector,VER,NOR,Fastest
0,274.17855173894736,269.0052538474163,VER
1,298.22409481752385,290.34576362666667,VER
2,309.52695145016145,296.568245252845,VER
3,127.64467644138072,124.89338688779196,VER
4,201.82562837163536,191.33842751598092,VER
5,260.0715422861153,254.99987671458518,VER
6,137.56417266793653,136.52470497905014,VER
7,204.5589937263746,192.5298201447619,VER
8,254.84645155860798,253.62032504755794,VER
9,276.8245794323062,273.85681079634855,VER
10,226.52036228122842,229.47091558956524,NOR
11,175.68109730925013,184.47770400881618,NOR
12,189.67074274873718,184.68774931820604,VER
13,136.3502193040523,142.84651567596194,NOR
14,163.7004374804489,161.40881826402625,VER
15,154.02624923530544,150.92568586672928,VER
16,212.7350431041773,206.67321208357404,VER
17,227.30874937959334,230.25028933355523,NOR
18,233.73978567409884,227.94142728859495,VER
19,238.41252091657142,253.25353817066087,NOR
20,140.9535766857383,140.97746965186903,NOR
21,133.42293637153247,134.86995166167046,NOR
22,152.772070708763,156.74359936694978,NOR
23,144.1936539055376,147.24992743807474,NOR
24,222.68196123784128,216.3327725809211,VER
25,,246.52307593846155,NOR
