Minisector,BOT,PER,Fastest
0,264.855633362963,262.70434319548997,BOT
1,297.4876740279838,293.1993788150591,BOT
2,313.2023365737878,309.98395783829596,BOT
3,323.15154784507934,321.55972246349205,BOT
4,329.60119055238096,328.6579298240325,BOT
5,332.35714285714283,332.4982144,PER
6,282.6164409904762,285.441403,PER
7,114.83643071405977,111.51865333532479,BOT
8,151.7015284977778,148.43960590541852,BOT
9,251.40739412153607,249.4888904888889,BOT
10,289.92000035555554,286.27591205,BOT
11,243.81270672,242.53166933024963,BOT
12,94.23296588199207,91.95371276103796,BOT
13,110.47669409160144,110.65617607667214,PER
14,212.00229974718613,214.08646738912543,PER
15,194.80231427626376,185.39772434330544,BOT
16,224.27460317460316,220.4892852825397,BOT
17,193.21483206984126,188.87878216222109,BOT
18,225.41048500809393,221.45236567582566,BOT
19,276.0509525938254,274.00802008375894,BOT
20,295.14166666666665,290.30501697451865,BOT
21,157.85605415303777,154.4662501688889,BOT
22,101.41019003177736,101.33954625582388,BOT
23,119.84669487059865,122.35628855092395,PER
24,206.1003070108609,204.69546941614905,BOT
