Minisector,PER,RAI,Fastest
0,300.60126812753623,300.6454054046011,RAI
1,302.2624191379886,301.57537881212124,PER
2,257.3153303405714,263.94765873258734,RAI
3,154.19580262795415,152.20499729042723,PER
4,169.19133839619047,172.72767789030294,RAI
5,217.61921467898514,213.9893583814609,PER
6,234.5930602713954,230.0302969710855,PER
7,213.2545216904378,211.97422344332597,PER
8,268.00296164793434,264.0563966635269,PER
9,252.4880146730267,258.42908472573015,RAI
10,269.635178298142,271.7290178985239,RAI
11,269.286448919192,274.4249998310559,RAI
12,269.49049975466664,270.3028335847619,RAI
13,265.8468132220603,260.0162561423163,PER
14,178.90056249987128,172.01210117147176,PER
15,239.42741284579498,236.69709424469573,PER
16,208.51343801476733,208.5443445467204,RAI
17,176.14731693913453,169.14661788500138,PER
18,258.6600052775613,255.81867245216824,PER
19,285.81208768261274,283.82326024209976,PER
20,252.08111304674318,252.01819027985346,PER
21,183.70502288393882,186.250640208127,RAI
22,256.6002585633747,257.8085702539403,RAI
23,285.5151441990827,284.7886315035005,PER
24,296.3128624695652,296.1348083279503,PER
25,,300.0,RAI
