Minisector,NOR,RUS,Fastest
0,297.4625464368886,290.2706583970441,NOR
1,316.8531128747795,301.2601040281437,NOR
2,325.4703776333333,304.2790849673203,NOR
3,311.62314285714285,300.88038352791784,NOR
4,170.22461084643479,168.79118912419332,NOR
5,206.43161630036633,205.78017027849094,NOR
6,232.3672875202552,234.91135699096225,RUS
7,266.4770733662888,264.5476238139224,NOR
8,247.58835978835975,255.4298939293607,RUS
9,162.75756687426062,158.84847464832558,NOR
10,222.13330898992407,223.1259146102367,RUS
11,126.81562304393911,123.1734249733173,NOR
12,228.7815855477809,221.950772005772,NOR
13,177.4415008332787,174.1879805723821,NOR
14,216.41140668666665,205.13632505175983,NOR
15,241.20802182121523,242.93651120966004,RUS
16,264.0077161323457,263.47779040404043,NOR
17,283.6773851229893,289.00897070668594,RUS
18,155.46768970124083,161.78176440626615,RUS
19,160.24322817792626,158.4935031371604,NOR
20,142.61392596996134,130.09163539472925,NOR
21,229.91800615238094,221.47131122025613,NOR
22,262.6533062817391,266.1917900472663,RUS
23,252.9437415288787,254.51115105625118,RUS
24,274.6359188644156,273.8349927849928,NOR
25,283.6477277090909,285.15250047999996,RUS
