Minisector,RIC,PER,Fastest
0,253.7993064002867,257.607860972715,PER
1,204.00871146706632,203.39409099066654,RIC
2,220.53360347040993,217.84086896457652,RIC
3,262.3168484957945,260.2921781719747,RIC
4,275.20459673444225,271.41911138475893,RIC
5,223.6724128639586,212.4578359191473,RIC
6,99.16231164448804,90.83909475388026,RIC
7,186.53881121880167,191.48417147020228,PER
8,268.8846696006417,282.3112782791717,PER
9,291.7484310189974,310.94451362154405,PER
10,301.4765281635119,323.11944224878016,PER
11,300.7776861071241,309.85379694837513,PER
12,116.84760504828942,103.71326912356271,RIC
13,215.179227753094,221.25306108393798,PER
14,274.1062901571746,282.22774262129514,PER
15,293.9452026829548,302.8729676098316,PER
16,226.4027719962829,204.8722499898367,RIC
17,123.84528126834401,122.67536179392981,RIC
18,154.0765422802305,154.8645272832986,PER
19,251.09356127357637,261.76511466194245,PER
20,157.8343584343864,144.7588003866127,RIC
21,130.0123374225168,125.97030543448373,RIC
22,202.92502115229098,208.04107774885364,PER
23,209.20622379146974,193.09249282211093,RIC
24,169.19490637807286,162.89996614394374,RIC
