Minisector,VET,RIC,Fastest
0,280.84761519795467,282.59905127961474,RIC
1,153.45723121896523,157.94177584017072,RIC
2,128.19443964511908,137.15797509384572,RIC
3,228.00815516956925,220.07394004297504,VET
4,283.28589693558706,279.8610470711989,VET
5,277.7985211916988,285.8156824077997,RIC
6,141.48745138230458,142.3968956926391,RIC
7,140.28926836577708,137.99637713525797,VET
8,133.6912352836419,142.53496317658067,RIC
9,178.18398076627352,172.85847576593483,VET
10,113.50973691795014,123.26938553953347,RIC
11,112.28153081206852,120.22289561193521,RIC
12,174.8495554108413,152.50844316603434,VET
13,268.1355162604052,260.4509543634227,VET
14,287.223546705196,283.3115698809524,VET
15,138.48658744115696,143.34521196090432,RIC
16,190.88789433599217,210.12822780199159,RIC
17,177.21666145124334,155.2381007168689,VET
18,271.65659437941923,263.8205073814007,VET
19,294.24001158252145,288.92556534349205,VET
20,308.84789341198086,301.2602984376962,VET
21,317.09673597333335,310.33170828799996,VET
22,320.05974028051946,313.14824559532167,VET
23,322.37415276800004,315.3081264290137,VET
24,318.99436207274505,314.5204524464762,VET
25,314.9041664,308.85750016,VET
