Minisector,VER,RAI,Fastest
0,289.4844830347397,296.62954490735933,RAI
1,158.44470148190476,156.05297421696213,VER
2,151.946348965614,153.8258709201096,RAI
3,227.08558476767564,221.30718141497127,VER
4,285.6083850320579,282.20991216231886,VER
5,286.94803212554484,294.74959070098504,RAI
6,143.51949296319196,147.13504932634373,RAI
7,144.7470094774001,138.53143093499352,VER
8,141.5300379880059,153.16106480581527,RAI
9,195.25650131449783,171.03346050231858,VER
10,132.16676374670365,134.71575131460725,RAI
11,121.94213721006325,126.75187486296547,RAI
12,168.99136072674375,156.24179111127356,VER
13,269.5672363873016,262.5671636886529,VER
14,291.39226177662334,289.37797654025974,VER
15,152.27664856522702,154.16043949005066,RAI
16,206.3795610314331,214.50945842863172,RAI
17,174.67341155132274,162.86082000761905,VER
18,274.97408125714287,266.86563235776396,VER
19,298.3345451133103,292.3718619636364,VER
20,314.1325391818594,304.6015153454545,VER
21,326.0476501573935,313.3007145142857,VER
22,331.73962599047525,316.59617183660987,VER
23,334.2833332190476,318.6324998933334,VER
24,335.8014007313312,319.525,VER
25,334.1166666666667,319.0,VER
