Minisector,LEC,ALB,Fastest
0,295.30379587160496,284.36587170955266,LEC
1,163.46209916813208,157.8631888452265,LEC
2,171.24850044732497,166.5473967422095,LEC
3,250.78502474933828,241.9745078471477,LEC
4,282.75977636598617,282.96632997640836,ALB
5,250.97287766105399,224.64877638177094,LEC
6,231.9721553772431,212.48655065756643,LEC
7,160.35128493973028,150.19086264573144,LEC
8,229.55952528895654,228.58669729706668,LEC
9,278.70274790549706,280.2858836339431,ALB
10,298.69637844771916,301.35073388698413,ALB
11,313.9528808765186,310.5138606035888,LEC
12,320.13377190175436,313.937839628682,LEC
13,318.29162936485307,303.56734754006345,LEC
14,129.33554147480103,123.56637047448923,LEC
15,118.80568400976483,112.77508262965277,LEC
16,98.15035036638346,95.54780628854854,LEC
17,233.36959278099755,234.5049342866745,ALB
18,283.43594607847615,288.6518591940318,ALB
19,302.45455982419753,307.2741645090909,ALB
20,313.8088477970068,316.59553882185463,ALB
21,310.44844827107767,319.69195223017545,ALB
22,121.69518599481593,117.55243019721753,LEC
23,203.89970728277058,201.02811868073826,LEC
24,269.7969609968849,270.3988812432536,ALB
