Minisector,VET,RIC,Fastest
0,279.6706956934336,274.0464236574194,VET
1,247.77306091376224,243.91931966795778,VET
2,115.52830572031478,122.37714873423249,RIC
3,188.71971629386198,191.23985575251052,RIC
4,184.45662260929674,187.87697442162946,RIC
5,211.87487998250157,215.5578167423339,RIC
6,278.0395533826194,274.50179817619903,VET
7,295.6133606781784,293.35044523544474,VET
8,197.1575423892449,190.0471260808268,VET
9,130.65167576431094,137.4818302249673,RIC
10,129.33973967400476,133.5099059965202,RIC
11,188.46699422567565,189.51777129925512,RIC
12,228.995156725092,232.52524736296263,RIC
13,132.6959165199423,138.45336707847963,RIC
14,161.21646555894876,160.7561178766243,VET
15,118.96343303743292,122.05501712399222,RIC
16,254.3361703889091,253.35842856238222,VET
17,151.72317308959452,150.41294935468858,VET
18,196.1445417362642,198.95444096745396,RIC
19,137.5323671854081,140.747004734761,RIC
20,155.11659345973533,156.04744244030027,RIC
21,124.80216050606974,125.536990168478,RIC
22,139.5253438034067,145.36470580222112,RIC
23,217.31602605128208,223.62513951105245,RIC
24,233.01373781560562,224.5310710744157,VET
25,264.2166656,,VET
