Minisector,OCO,STR,Fastest
0,248.73122927871657,244.19843092994748,OCO
1,200.6736540761905,206.69857179428573,STR
2,201.70262991842364,201.410870133398,OCO
3,254.94090408285714,254.28635418417502,OCO
4,269.4479825652443,270.36901152506124,STR
5,281.80427165233084,277.20364908985505,OCO
6,161.60428976083438,162.47350069057595,STR
7,178.12423460866003,171.5518095866602,OCO
8,262.0568248942356,262.0277201477887,OCO
9,289.8025342903319,288.40406277253106,OCO
10,299.3396142670017,297.2933248076927,OCO
11,295.06780045351474,292.8728653174641,OCO
12,111.85635922029928,115.95167160906291,STR
13,186.50301040588587,182.70583412517973,OCO
14,266.9024708814355,263.33582115978726,OCO
15,292.3272299565756,290.4827989897143,OCO
16,290.73986427936507,292.30250596737153,STR
17,181.195704483086,182.00886018862914,STR
18,216.3309499107483,211.72621106973114,OCO
19,258.22427275636363,260.033058778836,STR
20,155.9119953269112,155.9782615935924,STR
21,139.78829967520815,138.68862646684872,OCO
22,217.0297744186948,215.3927455874032,OCO
23,226.1504855079587,225.64547250902805,OCO
24,161.05777861127893,148.61723800312407,OCO
25,224.9625,217.0,OCO
