Minisector,RUS,LAW,Fastest
0,313.9240280739506,311.18067162642666,RUS
1,325.9187804037645,326.25119779952496,LAW
2,330.65611373871786,331.26356269286555,LAW
3,301.13892989358146,300.67936630717685,RUS
4,152.489175670293,147.41896737758296,RUS
5,196.73241383805765,183.1823863556729,RUS
6,218.1480124375483,208.29910065789943,RUS
7,258.7933838994997,257.3062924505772,RUS
8,231.07344083846837,230.17785853467385,RUS
9,156.3210654785933,144.1795811703556,RUS
10,208.84819285490815,201.06505228137306,RUS
11,121.6882714425364,120.34379610559704,RUS
12,228.550893227447,233.4645852367231,LAW
13,163.14714734312878,169.9920708483683,LAW
14,207.17803951738463,200.1136091856828,RUS
15,219.77815718974924,217.59788278452464,RUS
16,264.36019931061577,250.25692833587817,RUS
17,304.5161369479086,288.355676265328,RUS
18,142.55998770418336,142.7192737304673,LAW
19,157.13669879872515,151.09297259436008,RUS
20,132.268195768097,127.16946656033379,RUS
21,222.66669628635492,216.52636789652612,RUS
22,246.7271615504531,247.77637555569063,LAW
23,229.43737049483997,219.10296467079468,RUS
24,281.35448776632813,273.01315742526253,RUS
25,,299.2161787845453,LAW
