Minisector,ALB,GAS,Fastest
0,258.1740246414492,255.39798114530035,ALB
1,133.9320509912945,133.88883736009063,ALB
2,268.00521750747447,268.83197207182303,GAS
3,309.5171683911022,311.7174732223266,GAS
4,307.6606497477249,313.08702372219784,GAS
5,317.5631727180311,321.93603572303397,GAS
6,322.77253255286195,325.8932246631884,GAS
7,321.0430673467565,322.9717461103808,GAS
8,192.5031006257981,201.7520519176771,GAS
9,204.95038151775108,197.2368604919365,ALB
10,182.81075290662318,187.26354521939052,GAS
11,171.90235316481758,166.4992355887047,ALB
12,259.9414830749008,249.87280746228762,ALB
13,279.0612388022105,273.28743494135426,ALB
14,281.4984538573395,282.3490438146726,GAS
15,262.71446728296297,285.18960080761906,GAS
16,170.78606235260548,172.76104662213535,GAS
17,198.00793886250162,195.61192142603852,ALB
18,245.14165355619048,241.264875437545,ALB
19,292.1990790709024,292.39725813183264,GAS
20,311.6100183970603,312.87696268698414,GAS
21,317.547350781893,320.5670805149509,GAS
22,314.6101985206857,317.62513733821737,GAS
23,249.80386227301588,267.64341866977986,GAS
24,123.11319886005563,115.5551485705589,ALB
25,,230.1531245333333,GAS
