Minisector,SAI,RIC,Fastest
0,268.20942706484635,266.676782883536,SAI
1,133.71672328771143,137.0726947606997,RIC
2,194.9210848588236,201.03509818324017,RIC
3,248.48418337651947,249.62262145908838,RIC
4,262.5105543356989,263.6443714886605,RIC
5,172.22731021866838,180.7168573914904,RIC
6,140.94458327426435,146.24653824964008,RIC
7,178.05889178521505,181.394138531985,RIC
8,103.71949974301548,102.27183209059821,SAI
9,71.45408065088652,75.37721846089471,RIC
10,94.44920961024344,92.56562423151888,SAI
11,181.21137688485135,171.83193733407904,SAI
12,250.3649190938738,246.80072841950803,SAI
13,273.6130322817229,270.5904522719547,SAI
14,285.67596420660874,285.88558130355864,RIC
15,113.04036410646367,138.2060688841474,RIC
16,145.30723107437635,117.97671362175996,SAI
17,187.26220431044862,193.2711290988039,RIC
18,191.5555493793974,193.71083352035504,RIC
19,208.74813501073584,223.74137035655653,RIC
20,133.53667681684132,139.12162805404046,RIC
21,112.32743222342754,138.09495201383953,RIC
22,92.65256495204001,81.88370570022447,SAI
23,195.0331739531884,172.1442016019144,SAI
24,253.93560955208477,244.63184778778015,SAI
25,,264.9334107308854,RIC
