Minisector,VET,NOR,Fastest
0,300.27546135064307,295.3487922300936,VET
1,254.6740376773371,246.40459096531387,VET
2,213.63091372389846,203.40295922113313,VET
3,272.72938304415584,269.35919706333704,VET
4,246.77219064184294,220.01033095320676,VET
5,121.91853941452459,117.59296556486589,VET
6,188.0128911307518,181.24766040645457,VET
7,260.74422640473205,257.5715712513464,VET
8,288.6461974167947,287.34324056619624,VET
9,301.7918799689683,301.3071862284946,VET
10,307.16111126349205,303.70527671973775,VET
11,228.41441996238547,211.2108049182889,VET
12,146.20650805309447,148.6947304044784,NOR
13,261.17363725839317,257.5396596356546,VET
14,291.9725430603268,289.4657037153271,VET
15,302.4985352405078,300.4636945617341,VET
16,299.31414397097507,294.5128788848485,VET
17,278.1530876128968,257.2373759408351,VET
18,199.10078491287283,193.60517624983947,VET
19,195.69187496983275,178.85577331844104,VET
20,195.44503465582292,194.37819187721522,VET
21,255.39236841390945,240.27619082783883,VET
22,131.83440747148066,123.59038102820558,VET
23,204.3513313700896,216.2767039543027,NOR
24,280.79298508351513,279.7766027526725,VET
