Minisector,VER,SAI,Fastest
0,293.26730425650993,292.73364991643257,VER
1,300.2896480169312,297.7955676444444,VER
2,170.24147444355668,171.94536959898744,SAI
3,235.32646464667374,234.58652511081192,VER
4,277.65282029874686,276.43605044641197,VER
5,294.2509818167525,292.54495629473683,VER
6,302.4521164444444,298.4346509851588,VER
7,168.66751765238095,170.13630023972942,SAI
8,143.51877247749292,145.9685532682809,SAI
9,254.583618031746,252.0466649005003,VER
10,285.2624523234179,281.15617408160665,VER
11,297.71412023703704,293.3671297777778,VER
12,153.63380298440683,157.0955092681809,SAI
13,208.03266850133332,210.13116834133334,SAI
14,266.8702956045351,263.98053669391504,VER
15,206.61660743608198,219.61342536254577,SAI
16,232.75471174492756,238.74985921698695,SAI
17,215.45534008185925,235.77236611951622,SAI
18,252.4248310639456,252.2471945723356,VER
19,278.7232460912281,276.61629022836155,VER
20,291.5902440336406,291.25526546517386,VER
21,272.6227365561905,276.4996020825397,SAI
22,233.58540260041408,242.26499154165845,SAI
23,226.49303047458457,221.67767981601722,VER
24,271.60570268070177,270.45916762666667,VER
25,286.0250016,284.27500053333335,VER
