Minisector,PER,NOR,Fastest
0,294.81929835789475,289.17187504,PER
1,220.46321794801125,209.9149095013278,PER
2,143.99266935880155,142.9749654772487,PER
3,224.21119906208423,221.07792902273073,PER
4,159.29026865377415,154.58785846857143,PER
5,169.68627023292933,175.74395953135874,NOR
6,247.49787307597745,247.30178453333332,PER
7,270.9081251047619,269.35617877188207,PER
8,279.2763157894737,277.3311402105263,PER
9,263.41589216761906,251.96686628571427,PER
10,242.49853208872787,240.4856224106553,PER
11,244.01398707010375,241.5825771151515,PER
12,209.94633297066667,208.40908086369967,PER
13,139.45953008695756,141.01713337927725,NOR
14,152.94602527790826,149.57683238233557,PER
15,180.56479712643477,186.5327358419753,NOR
16,254.10107805703643,253.94274097603522,PER
17,239.40603114820976,247.56615647445886,NOR
18,117.84329951991259,112.75806735886525,PER
19,195.07666594817476,194.69743351794872,PER
20,196.35987891539733,194.6760968983581,PER
21,232.08020804087337,232.56412911304346,NOR
22,263.68086333714285,259.3739362301091,PER
23,279.9295392728357,274.79205702036285,PER
24,290.00532414814813,285.0837960888889,PER
25,293.50833386666665,289.0,PER
