Minisector,HAM,ZHO,Fastest
0,282.62105295584416,274.41245694342524,HAM
1,123.00481534471025,112.32535023456151,HAM
2,151.82236711172396,158.44252981202598,ZHO
3,217.56951280926717,208.09349394086877,HAM
4,160.22041236038092,160.45219217982304,ZHO
5,243.05374182178525,238.98328765409155,HAM
6,206.14343392964838,192.5174454315287,HAM
7,133.2486547343942,135.40587002422944,ZHO
8,229.67523151795854,235.2496273707922,ZHO
9,269.29922949915965,277.95297302891777,ZHO
10,278.1442634843367,275.651309125337,HAM
11,145.9693363808964,138.51006884314074,HAM
12,215.71751364487108,218.7679910515439,ZHO
13,266.47980985333334,265.0398284304762,HAM
14,264.52478522054156,248.0504253062434,HAM
15,99.82928825915236,104.79851771690619,ZHO
16,218.46207468310936,219.52758181097906,ZHO
17,268.4163551497587,272.80739118776336,ZHO
18,291.10500154607297,302.73394188193896,ZHO
19,300.15447750316883,318.4797662867647,ZHO
20,306.36180610960423,329.50707177142857,ZHO
21,286.7538095358396,280.6279957580511,HAM
22,146.1422740929185,146.95398989969777,ZHO
23,230.5671102926407,238.9043552605107,ZHO
24,274.62042971109406,285.060077798934,ZHO
