Minisector,NOR,VER,Fastest
0,285.46700840749514,284.2310759225617,NOR
1,301.6161456875421,300.2619704861111,NOR
2,244.9159169211487,247.26441939262006,VER
3,115.45057504045144,119.24851934485567,VER
4,133.67890977759498,139.71606493662964,VER
5,252.1883924063492,249.3530378085562,NOR
6,255.29882364305624,265.45978890613196,VER
7,125.08584309850006,123.94682149632833,NOR
8,247.19938513720928,242.48535595693008,NOR
9,263.8730030015855,265.1145007761716,VER
10,228.61843533964174,220.45031588031443,NOR
11,138.583409867183,145.36925654990264,VER
12,204.33840450113584,203.519004671498,NOR
13,268.00155831914753,266.23293227108354,NOR
14,117.78571269214511,120.97102764102443,VER
15,188.70403948175087,183.97058584734717,NOR
16,262.79619912079727,261.5535735586684,NOR
17,291.4794025991111,290.49525666727646,NOR
18,304.1305407753005,304.3080125107484,VER
19,311.1918274077193,311.41714294857144,VER
20,312.52293348090427,313.4083196807029,VER
21,187.3929429334588,218.28598030220286,VER
22,144.33539512123676,130.35358262720507,NOR
23,209.754814233934,210.9811071392137,VER
24,240.01577223987118,228.83372778616194,NOR
25,273.14444373333333,267.52976304761904,NOR
