Minisector,HUL,LEC,Fastest
0,300.67836737460937,299.6785267502607,HUL
1,179.97162872382754,191.4673744987434,LEC
2,221.4070157854601,218.3372641270405,HUL
3,274.7130043594068,273.28464599801055,HUL
4,235.37081696101598,236.55129690749007,LEC
5,122.95738369931958,123.85660581739937,LEC
6,194.9133678464302,200.16186098688328,LEC
7,237.08213195353514,247.17136313937817,LEC
8,223.21570890600785,224.6693765356395,LEC
9,225.11512322498228,230.12899788877988,LEC
10,273.2491824413931,276.46314687844495,LEC
11,290.82689015151516,294.53708535623286,LEC
12,299.49306832473485,299.6322901741013,LEC
13,303.82320105820105,302.1885607127273,HUL
14,305.2526186122829,303.9789114741703,HUL
15,237.96001378838417,235.58105246773096,HUL
16,225.10188078955173,224.5825942054327,HUL
17,273.2654319371204,272.3564989144616,HUL
18,290.3411948337156,289.21784513275907,HUL
19,143.23968366905703,132.97594698960293,HUL
20,199.22921695437253,188.56017402048874,HUL
21,166.66606563150933,142.0918830098118,HUL
22,148.28901261482557,142.6009653363248,HUL
23,243.56665307604794,246.9457834810866,LEC
24,284.1215213001205,298.4187578058981,LEC
