Minisector,HAM,STR,Fastest
0,285.4506841192652,279.38102085925925,HAM
1,127.68344737515659,128.5090717323497,STR
2,154.1106397463743,156.31287131224667,STR
3,215.44130300289856,217.81270349357698,STR
4,166.18402776769588,157.99373828834155,HAM
5,247.47799335233606,236.8902547879718,HAM
6,211.08803067906865,209.4191599861472,HAM
7,138.64870477688788,135.10552598639455,HAM
8,235.99290615632594,229.62038471619047,HAM
9,278.94791706666666,273.6544360784888,HAM
10,287.6997537882353,283.26519730196077,HAM
11,148.6151297402242,147.24474928178515,HAM
12,224.83000181333333,219.37454479092972,HAM
13,273.92879506436685,268.1468063739909,HAM
14,266.1500972783069,270.50763461415096,STR
15,100.31206810081885,103.58548160599034,STR
16,220.47194611555557,210.09014962424243,HAM
17,272.16947307699434,265.7297803819905,HAM
18,294.06824330024534,289.9741897547969,HAM
19,303.62809541079366,300.22827375238097,HAM
20,306.8998616789775,300.12083333333334,HAM
21,280.4473856964058,279.3615231372549,HAM
22,154.78099421754303,151.4544384865813,HAM
23,235.58134927028277,227.10158613333334,HAM
24,277.4622556235294,270.3630365982317,HAM
25,289.7833344,280.02142811428575,HAM
