Minisector,BOT,ALB,Fastest
0,286.99722960380956,284.36587170955266,BOT
1,148.21191287496853,157.8631888452265,ALB
2,166.2261102419853,166.5473967422095,ALB
3,244.98149179193678,241.9745078471477,BOT
4,279.5763065837968,282.28604225020797,ALB
5,230.33979867581692,222.58443239995051,BOT
6,204.44464442549634,212.48655065756643,ALB
7,152.9392574358155,150.19086264573144,BOT
8,233.22366266274426,229.98720893948718,BOT
9,281.27460133521936,281.6668360148955,ALB
10,297.3265333628086,301.737614617878,ALB
11,305.67756581894736,310.5138606035888,ALB
12,310.2135507998508,313.937839628682,ALB
13,302.55300073323497,303.56734754006345,ALB
14,125.94958434583867,123.56637047448923,BOT
15,118.70126524980671,112.07201102061126,BOT
16,99.33116180522609,99.49057328070481,ALB
17,236.45637748843856,240.0233407646402,ALB
18,282.8517880535517,289.5282728358229,ALB
19,302.3481791555252,307.59226648080806,ALB
20,311.4217965228053,316.79529097862434,ALB
21,315.0077834369161,319.20735461866667,ALB
22,127.25681669315499,114.3216609664483,BOT
23,199.93301339588285,203.29843093768974,ALB
24,266.83701519256994,270.3988812432536,ALB
