Minisector,OCO,NOR,Fastest
0,272.32795919774844,270.7930380421602,OCO
1,292.3969236021027,290.7049072998068,OCO
2,269.02184759259256,257.6285175944462,OCO
3,153.88721159441795,147.59417415897602,OCO
4,194.28856086629148,183.3769846272165,OCO
5,167.63763148839507,171.2093871691517,NOR
6,157.8368713331189,158.84587461561262,NOR
7,188.94413437908497,189.1080112360471,NOR
8,239.41105944151755,238.34300055437325,OCO
9,217.2903833150019,214.0278673531699,OCO
10,137.37948259452585,136.94430157093166,OCO
11,218.50089222128221,208.91695197581026,OCO
12,110.56909520038471,101.6733313923169,OCO
13,211.00423504449543,216.49631729997884,NOR
14,263.67687599891156,264.8676844007925,NOR
15,270.5570544216133,261.35976714989897,OCO
16,169.98465209933536,160.06384917872984,OCO
17,156.5931405739305,157.09341421556937,NOR
18,251.79931411128868,253.06546682908737,NOR
19,280.88914583141366,280.45559690225895,OCO
20,293.88332070175437,291.59156545987577,OCO
21,282.00306225452897,262.98455665872024,OCO
22,218.80932935520738,201.0991437249796,OCO
23,101.37420197598857,103.78494872384246,NOR
24,225.2609305940983,221.0017742908759,OCO
