Minisector,NOR,SAI,Fastest
0,306.23829833229274,310.85074577403503,SAI
1,206.20742174436768,219.50883152306739,SAI
2,149.95361592142856,145.186055443205,NOR
3,228.73670103873013,221.44097184888886,NOR
4,165.69526693454364,169.85207429866665,SAI
5,185.70521947136416,175.1275044416277,NOR
6,258.1344825618713,251.95155212388082,NOR
7,280.8581896417175,278.16365123555556,NOR
8,289.56888896948146,288.1060716816931,NOR
9,263.66436874812484,260.3975611629082,NOR
10,246.70025911099856,238.34347853101684,NOR
11,242.27479155555557,243.9640684710686,SAI
12,205.0967576825893,201.42099746489964,NOR
13,126.54043716425413,132.57401510170493,SAI
14,134.1254209434833,133.52532058819048,NOR
15,172.4739974606349,170.77452181281308,NOR
16,248.32887256812367,253.79252327873013,SAI
17,248.40433931555557,247.36842188510212,NOR
18,111.91892436138681,113.41789229180384,SAI
19,204.12046484018208,199.082108158796,NOR
20,206.89383420586665,197.7916962548846,NOR
21,242.23273232611785,237.76516945964588,NOR
22,269.375545423752,274.88115147089945,SAI
23,289.88973242857145,297.3509484781513,SAI
24,302.04555373511107,314.9010016655044,SAI
