Minisector,LEC,LAW,Fastest
0,262.32087237756616,257.07272363512044,LEC
1,138.9479312019986,134.03212509799204,LEC
2,209.02303761568626,208.1961265432381,LEC
3,246.11569408,246.47930254448485,LAW
4,262.02767862857144,260.62675124755583,LEC
5,185.6594126167726,177.72154923634398,LEC
6,150.84547776284444,148.01378555691093,LEC
7,188.83888750768165,185.69915375288542,LEC
8,107.22384905052607,104.59867274310623,LEC
9,72.87399600925689,74.6855762512512,LAW
10,97.87944471855202,96.45036580557789,LEC
11,188.4367531041666,182.85717634127616,LEC
12,245.15230601910142,243.44619200120093,LEC
13,267.8330948495238,264.72092342726313,LEC
14,278.2319598065934,275.9186659307554,LEC
15,107.37423197174449,107.87365238459515,LAW
16,158.95016494574904,147.94928383108348,LEC
17,191.87739541809336,184.23064572836896,LEC
18,205.63221768973546,197.86962994927993,LEC
19,220.93432529837534,217.5820581647059,LEC
20,141.87544680317018,134.5988649576635,LEC
21,108.99187526636364,118.94034423831049,LAW
22,101.88320769278819,94.1833668034481,LEC
23,190.85127374486217,190.69769497809807,LEC
24,251.32992007111113,245.79666612,LEC
25,,261.8,LAW
