Minisector,BOT,PER,Fastest
0,233.14811129540712,232.04827502601452,BOT
1,287.7830582961294,281.72839462716047,BOT
2,312.97951368888886,296.4624494365609,BOT
3,323.14715985721557,303.2883282020704,BOT
4,286.0751925679951,267.9776315269704,BOT
5,162.37480746918695,165.78581864624633,PER
6,257.16987106161827,261.25928103844797,PER
7,273.7011218051282,277.4188616168159,PER
8,209.9063353361243,202.0192612037065,BOT
9,216.14982584200072,215.55530539916697,BOT
10,183.22111465956422,169.57189965891473,BOT
11,220.08228722537947,224.05277750789506,PER
12,200.575857560484,193.0236324108907,BOT
13,206.38988901225272,198.68933603809523,BOT
14,214.58442082055524,211.96588075138203,BOT
15,177.69647636327872,168.61237006932194,BOT
16,243.8509656574441,246.60100498390807,PER
17,283.9018980636908,284.6108780900187,PER
18,294.21336810158726,299.317889595958,PER
19,280.4352561230769,282.8708026173337,PER
20,129.31229474851867,129.41838146937533,PER
21,158.3422618560067,157.56974850729188,BOT
22,151.45363387071936,154.02243029234825,PER
23,202.78417089821886,201.10078936216217,BOT
24,147.90708929478788,147.915269310321,PER
25,185.96250239999998,,BOT
