Minisector,ALB,SAR,Fastest
0,245.06040196958924,250.9821165021863,SAR
1,281.22878684807256,291.8343870187463,SAR
2,180.0278505219086,160.99831226392985,ALB
3,142.61989173843992,155.86572096873684,SAR
4,252.81918555844155,252.07306422867026,ALB
5,265.38214569123085,239.64501181252527,ALB
6,212.81856006267282,205.12723317449488,ALB
7,193.84522532437876,190.42313582829755,ALB
8,151.7801737453556,149.70883195440865,ALB
9,211.85001125945777,211.39349156816303,ALB
10,270.9623405444619,276.1304205929004,SAR
11,118.04762283000784,114.64614280571213,ALB
12,201.45214278838387,203.79503644321838,SAR
13,269.3819694205585,275.1899404989322,SAR
14,293.0740976413893,305.6327224047485,SAR
15,301.48973544973546,316.7076080463941,SAR
16,239.43429488560042,237.2141599458201,ALB
17,130.38307304253166,131.48949900356527,SAR
18,126.93647621180953,127.81512520569389,SAR
19,119.59004735027492,119.52987935203105,ALB
20,218.60713286713286,215.36518948448824,ALB
21,247.42321120745683,243.44267290232855,ALB
22,228.44254167288648,225.72825201181604,ALB
23,212.55057999639928,207.5816276829932,ALB
24,134.7813598500035,137.3488752888212,SAR
