Minisector,OCO,ZHO,Fastest
0,289.10019678557,289.94169350498277,ZHO
1,298.67119826729146,300.1150445631615,ZHO
2,288.74758493642514,298.50682334983804,ZHO
3,182.6150267356229,182.32349070370915,OCO
4,204.0425942458167,202.29584994018063,OCO
5,201.3563350780133,201.59211931407802,ZHO
6,258.0733442742857,263.97160119272337,ZHO
7,247.83348522733158,249.1968729985149,ZHO
8,204.41884415365078,203.54262560425502,OCO
9,203.80993455624883,207.2428661577848,ZHO
10,139.12131434416378,142.21365311536266,ZHO
11,191.45382663596277,208.93674688982864,ZHO
12,176.72348193852665,174.38814759073026,OCO
13,251.21550976870748,239.59651661183094,OCO
14,168.3668284349399,177.0647124685933,ZHO
15,229.91684414439783,229.89883126153848,OCO
16,273.36248980825394,272.9303757525973,OCO
17,280.2893769671265,275.6835483362319,OCO
18,272.20076763890336,264.3576442380693,OCO
19,254.87598738242423,249.6727951941818,OCO
20,252.2660245165981,252.5351105307956,ZHO
21,251.55158797925927,253.69349375237,ZHO
22,219.9293476733383,226.32518511610246,ZHO
23,193.15165111724139,189.95524902114946,OCO
24,265.5452023203086,263.91240019331974,OCO
25,279.520832,281.44642742857144,ZHO
