Minisector,BOT,PER,Fastest
0,204.0459168102741,103.79270436408783,BOT
1,266.27914142606835,169.7748914308922,BOT
2,291.4684409216386,128.99659187522332,BOT
3,291.0616788491228,204.27238734535428,BOT
4,162.4381593529809,180.77362689323184,PER
5,227.24786439469813,133.99699025941268,BOT
6,274.4949549473684,215.08402777777778,BOT
7,293.6158513562212,249.98420971174366,BOT
8,294.5251653170777,218.35567916252685,BOT
9,171.38110653497662,113.86584871126665,BOT
10,131.0189013777353,112.56257466389513,BOT
11,252.28263563467038,121.26133833967873,BOT
12,283.8742844569248,176.1573136361123,BOT
13,293.1084324063492,196.69732216735025,BOT
14,147.7170397063275,183.3588675479036,PER
15,192.19297847357666,84.31395666268597,BOT
16,257.88363051428576,138.23654179620522,BOT
17,210.97594802076773,,BOT
18,217.57773711694495,,BOT
19,222.45513995171717,,BOT
20,243.0469290286177,,BOT
21,274.44309472,,BOT
22,290.1148854062461,,BOT
23,270.87273965465346,,BOT
24,226.38217329801256,,BOT
25,190.20920442933436,,BOT
