Minisector,LIN,COL,Fastest
0,241.3241015512545,256.73572172280257,COL
1,138.0776010676771,138.84674300541533,COL
2,281.9208749362028,275.7463614845726,LIN
3,319.38113072959646,310.1831515480975,LIN
4,301.3215373545578,293.25591857629905,LIN
5,314.8300941298835,313.99232874023926,LIN
6,313.76689722687746,314.1394449378656,COL
7,310.33761155142037,308.2816403143803,LIN
8,190.85457980589,184.40612721309472,LIN
9,189.59784535770862,187.103090310806,LIN
10,177.38973557923083,175.22291189916797,LIN
11,165.50848432295433,164.5987289682096,LIN
12,239.86569246897923,243.05622547027335,COL
13,250.4387741413192,262.04077616341544,COL
14,265.6365616378395,259.4760012861235,LIN
15,246.13337843706998,247.68744462148325,COL
16,174.02831040144187,168.66171015052635,LIN
17,189.01224210428984,185.43796950511634,LIN
18,248.0536961042666,244.7304045548006,LIN
19,299.0305994998779,296.2919360323115,LIN
20,317.14017525672114,315.3138029780067,LIN
21,294.23815666864976,295.7659040370495,COL
22,275.7962039746382,279.71545031075186,COL
23,252.6378404026702,242.93055328239817,LIN
24,120.70246358181106,117.31367646857845,LIN
25,220.49221073988002,230.944448,COL
