Minisector,NOR,RIC,Fastest
0,259.2282404345679,257.47707560843605,NOR
1,234.89867658175325,222.5118689231363,NOR
2,148.47121011318671,147.83430005841618,NOR
3,244.41107420341567,241.0286661577655,NOR
4,268.79816661333336,269.91668867562663,RIC
5,187.34119522126196,178.30230835105291,NOR
6,103.17119616214161,98.20822399407898,NOR
7,135.4787504885077,134.47897963844008,NOR
8,248.79465094379756,244.37915130968491,NOR
9,173.56013451209094,160.54314796065597,NOR
10,188.36585525014107,185.38325262222222,NOR
11,256.32489305982904,252.7345558990854,NOR
12,250.73481437377717,232.20273029885058,NOR
13,266.3139999146667,245.63463275642658,NOR
14,284.42688949137886,274.94913137777775,NOR
15,285.6538201777778,266.2148346453333,NOR
16,150.23871720771447,137.20112415938672,NOR
17,235.95621675509946,231.57915788695178,NOR
18,276.4168972564029,274.7952994542396,NOR
19,286.8524854266342,286.0130836026816,NOR
20,288.99109620952385,291.42362771925553,RIC
21,291.11439393939395,296.8223084256729,RIC
22,154.28666457725933,135.74611702795985,NOR
23,84.52341220343297,82.05781913497736,NOR
24,171.07202348952381,160.7919735811976,NOR
25,,236.8750016,RIC
