Minisector,VER,MAG,Fastest
0,294.00734374269837,290.78344347638284,VER
1,167.79959670483439,167.7735632591739,VER
2,174.16979486192753,165.56827052424907,VER
3,251.60227958719264,249.98263314471075,VER
4,288.42102711869654,285.1911488129293,VER
5,256.4247121811582,248.61599134199136,VER
6,229.21719758955822,219.58412827791508,VER
7,156.54178295344346,149.53679984803827,VER
8,230.48528752965078,223.88361886641928,VER
9,281.34911973618347,278.6628905533747,VER
10,299.9306413619295,297.09644736,VER
11,308.58545491897047,305.74659428870217,VER
12,313.06969246031747,310.9013157557894,VER
13,314.220918214966,309.20783443680506,VER
14,138.54591192680476,136.12096841407387,VER
15,127.04667051154846,120.77843058499118,VER
16,102.46848640506535,100.75340773493643,VER
17,234.40825399712614,225.85570156108616,VER
18,288.39047065475836,283.9232539225397,VER
19,307.9534475424339,305.84826329165094,VER
20,318.19992575914955,317.71100279026473,VER
21,323.6303921568628,318.87922123015875,VER
22,133.06608004609186,131.92952826512237,VER
23,193.8820066320599,191.00164298169426,VER
24,269.5308341056318,266.9616148511801,VER
25,283.9062496,281.1214281142857,VER
