Minisector,RIC,GAS,Fastest
0,289.6467102877193,291.39714902456143,GAS
1,296.6962724491228,296.8004638814815,GAS
2,162.5541105101574,169.3608094,GAS
3,216.97847217777777,220.98734461859092,GAS
4,269.96899953548734,272.45401430716254,GAS
5,292.4061401824561,293.72017532631577,GAS
6,300.7044817927171,301.5460648888889,GAS
7,186.3517148992305,185.19190642448663,RIC
8,116.13795285208384,121.22459992358982,GAS
9,246.656688738506,247.79563443809525,GAS
10,282.9389410887218,283.8455119672004,GAS
11,293.5712964740741,295.88352457898355,GAS
12,143.14458253963815,153.48723129358038,GAS
13,186.22051625388704,185.79500351341267,RIC
14,254.68560084172336,257.4170350294785,GAS
15,199.00710221060922,206.5769404449264,GAS
16,215.97702798991625,215.85108894450698,RIC
17,211.36299976533334,213.75984176275446,GAS
18,243.10891254724638,241.17921444195937,RIC
19,276.3964912280702,273.94473684210527,RIC
20,292.7164473263158,292.1884523090034,RIC
21,271.66511984761905,266.5449203527438,RIC
22,225.7104167111111,230.9165364871526,GAS
23,200.6366602237389,202.36324766910388,GAS
24,263.5954363936508,261.31249980952384,RIC
25,,282.02916693333333,GAS
