Minisector,HAM,BOR,Fastest
0,291.1604403978562,290.5167583487564,HAM
1,299.79317665408206,292.04246287085715,HAM
2,162.6778954106298,155.02020257331796,HAM
3,220.25050305114317,217.33484129272355,HAM
4,272.7688654577778,269.63820871426964,HAM
5,294.12125830502106,290.9904920544038,HAM
6,301.2954265269841,295.2809036753114,HAM
7,179.92626021873724,147.79352173942712,HAM
8,128.58267379961433,142.8786649319728,BOR
9,247.22499412419046,249.76405146763977,BOR
10,285.3467165008947,282.8601358106185,HAM
11,295.91506735714285,287.4354018119474,HAM
12,142.51260983682636,141.33925902837902,HAM
13,190.47953013017377,192.53167438743353,BOR
14,259.62982197603907,255.4151416710703,HAM
15,208.42873822391417,200.10918215848235,HAM
16,213.66582341583398,223.8926436940877,BOR
17,211.81299231515152,215.01860140619914,BOR
18,241.51621569447252,247.33232678827747,BOR
19,275.8590227428572,277.63341008592596,BOR
20,293.64513230560846,288.7101057935802,HAM
21,256.0333068030476,253.95977045712297,HAM
22,216.674250547412,217.55517454283174,BOR
23,202.3721793748496,201.3993823468052,HAM
24,264.7440145062933,264.41380498082543,HAM
