Minisector,STR,TSU,Fastest
0,308.9109821259761,305.99691068552187,STR
1,204.1892292515679,207.17595158260872,TSU
2,135.21665878567177,142.546815382986,TSU
3,221.35699445575827,214.6160006643194,STR
4,160.40917217449118,164.25910324805366,TSU
5,181.24906005597407,178.93969410036942,STR
6,257.6195943324174,255.43047956970318,STR
7,282.30541658666664,281.4779966270166,STR
8,290.34120240698525,288.9985416087273,STR
9,266.03728144308565,262.66185291851855,STR
10,253.33283686792566,246.62075856,STR
11,239.258745579038,235.6903989392147,STR
12,221.23703358807455,195.27620578222985,STR
13,134.08091698133939,126.05672412230577,STR
14,145.50588324398922,136.8024532797993,STR
15,168.7948622062835,182.71734484824074,TSU
16,254.06429315238094,251.92706644097746,STR
17,249.6890359635418,226.98920918734675,STR
18,110.92252632525442,110.02106986597403,STR
19,191.661168638677,206.6473068001915,TSU
20,201.78501503449596,199.75990343064933,STR
21,237.70281119539754,242.27860243877407,TSU
22,276.1191782380247,269.6836820926984,STR
23,302.2046783015384,288.8537791858547,STR
24,320.1583455454125,300.5301458499161,STR
25,326.44545454545454,,STR
