Minisector,BOT,HUL,Fastest
0,257.5410717688013,257.6965282573545,HUL
1,140.9123370776124,134.4453235510204,BOT
2,261.8569467945739,266.2716490269624,HUL
3,306.62270940661745,308.7768760496894,HUL
4,305.83177106666665,308.7513128237881,HUL
5,312.03033335466665,316.64422115555556,HUL
6,317.6786232115942,321.84187361656313,HUL
7,316.9902469660447,317.6401120950174,HUL
8,216.1672957965288,207.04428065957984,BOT
9,198.25240702385707,188.9725866185464,BOT
10,195.4543499205199,194.03640807142858,BOT
11,163.98497008029975,162.97800162081515,BOT
12,247.44748414623658,247.05802611933808,BOT
13,281.8740744691358,270.5095244952381,BOT
14,279.8603395160494,274.1164906144796,BOT
15,285.2511230769231,279.75154478920047,BOT
16,194.0387066105263,183.05778092450637,BOT
17,198.45441348854828,193.47988372551893,BOT
18,238.48591043932413,235.80734924533758,BOT
19,286.61967210735446,281.07448771248625,BOT
20,306.89308018835976,305.89033585643494,BOT
21,313.3071428266667,316.151035414221,HUL
22,310.67552092063494,312.616571672381,HUL
23,271.58330819679003,275.4806464846561,HUL
24,115.09628635079514,112.862505410255,BOT
25,226.5749952,229.08888746666665,HUL
