Minisector,NOR,SAI,Fastest
0,280.3678302693428,281.69988531738386,SAI
1,297.06990300416334,296.7523712258817,NOR
2,293.6058928304762,291.36080529044136,NOR
3,179.8584346968978,175.76924393547785,NOR
4,215.85385607628862,216.88003292902056,SAI
5,202.7629560207663,194.0444904646859,NOR
6,180.8539036241903,175.82730763341945,NOR
7,202.99314155291657,204.20746343723786,SAI
8,256.06271517719415,256.4043881761905,SAI
9,269.10138423596044,261.3795021381065,NOR
10,169.66634325841218,166.16832034741597,NOR
11,238.7482314756765,231.766669448506,NOR
12,113.33405150978051,112.45824338191237,NOR
13,218.39925474528027,220.21388979614056,SAI
14,274.3270505720146,274.53514774494334,SAI
15,292.46985029841267,288.68538252226335,NOR
16,219.43354085436752,199.96215769981617,NOR
17,185.50417932222527,182.77103995832684,NOR
18,264.4041595198984,265.57027567238094,SAI
19,290.49214803371905,290.39201931081953,NOR
20,302.25728390977446,301.62987774814815,NOR
21,301.45232782608696,301.01146691438015,NOR
22,253.3646294453928,276.1758485245599,SAI
23,117.40578351800926,115.02768516931465,NOR
24,235.9542690676187,239.36723413302857,SAI
25,267.8625024,,NOR
