Minisector,BOT,NOR,Fastest
0,265.64967938461535,264.27644135970695,BOT
1,252.6031937241925,244.18858175712307,BOT
2,173.24304245283557,167.60291205072036,BOT
3,250.6378558018405,251.13435095580863,NOR
4,276.6744790920635,269.93315209275363,BOT
5,193.44096944021908,194.7521345359368,NOR
6,127.19294244277317,121.05351380537232,BOT
7,165.55943307515858,161.24782085610232,BOT
8,262.6650395704632,261.24303562274224,BOT
9,183.6830368,178.6996564148148,BOT
10,189.6496733742095,185.00999713304225,BOT
11,260.6853807725714,260.65981506212376,BOT
12,242.3147903916975,259.76689546238464,NOR
13,263.31480924038095,269.8463894193013,NOR
14,288.1408014041805,288.28420705335884,NOR
15,287.03083997083354,283.3771767652174,BOT
16,156.31470287539085,147.0983076644762,BOT
17,245.66040489876542,241.75308211805094,BOT
18,288.29249054545903,283.79900866711796,BOT
19,300.2033530801674,297.0922050684807,BOT
20,305.00795447272725,301.89153195897563,BOT
21,308.75122751304775,305.9963938330438,BOT
22,152.40457895196297,154.07887810057272,NOR
23,98.35445079555426,91.27259082898729,BOT
24,184.89509012683752,179.43359220279456,BOT
25,246.16418138561,244.9166656,BOT
