Minisector,BOT,SAI,Fastest
0,305.5235414933333,326.92249338546367,SAI
1,309.7713815578947,337.05416658823526,SAI
2,310.109649122807,332.8845964467665,SAI
3,226.341691136,221.46979925784834,BOT
4,229.50927383199198,218.46705010013568,BOT
5,121.1557552779002,116.85626872417144,BOT
6,231.46180436825398,228.61067510660345,BOT
7,270.2528352176595,267.14464238268397,BOT
8,218.98170552098765,213.8534120929655,BOT
9,122.93926200802584,120.98029872917954,BOT
10,243.86076080152378,244.0822400021447,SAI
11,255.1627735396206,247.81141448612834,BOT
12,135.86567530158732,127.69996533754737,BOT
13,226.29804617922537,223.2418249794422,BOT
14,270.90583296,265.90340892121213,BOT
15,228.58498723315455,211.52470476190476,BOT
16,171.84278108465926,171.9714136450715,SAI
17,247.05632299880392,242.72808064927537,BOT
18,122.51542347407407,120.30091307721422,BOT
19,143.3896830837886,142.05096610949238,BOT
20,209.03582438249865,207.9821408,BOT
21,263.8333325575758,262.3908368156242,BOT
22,280.94186493968255,279.09206323809525,BOT
23,289.5739526491018,288.41892360314415,BOT
24,298.69824532210527,297.1291664,BOT
