Minisector,LEC,VER,Fastest
0,273.7352496604444,274.1103412406048,VER
1,233.77126637360936,226.74253861300542,LEC
2,112.79918262492488,110.31905892477512,LEC
3,182.17393750602966,191.43815393839813,VER
4,182.94314911891985,171.87672956167316,LEC
5,220.41258585236412,224.15825006066592,VER
6,271.23316393351126,274.372548381645,VER
7,289.1383551588304,289.7612499073016,VER
8,185.70367896288198,165.6422249338036,LEC
9,131.19100507552082,119.15033780457894,LEC
10,138.6696033122238,136.40967775256678,LEC
11,192.71068476952084,206.31640358945057,VER
12,218.29683374933336,179.06786800323232,LEC
13,132.6414378330421,133.0492538149273,VER
14,145.79413269339352,111.45861566586542,LEC
15,133.6405631419166,174.01487812741237,VER
16,248.9797670442701,253.02729666486456,VER
17,145.16907852372813,124.32201498797403,LEC
18,194.1746796137931,185.83809407557348,LEC
19,124.05271354906226,115.74258718966828,LEC
20,132.685920029889,113.90603501660648,LEC
21,121.8072110977344,125.70681543051364,VER
22,140.33060491910072,176.18786691391418,VER
23,215.7142592474074,213.0724162609802,LEC
24,236.85373458295695,249.7060284626107,VER
25,259.58729891516356,,LEC
