Minisector,BOT,TSU,Fastest
0,276.9809084471609,275.7223897229659,BOT
1,296.8944444888889,295.268333312,BOT
2,292.6165397921453,291.81243750621115,BOT
3,187.89973813583356,180.50117688761904,BOT
4,119.86469431585638,118.49624290303089,BOT
5,235.49785051499492,235.3033756078241,BOT
6,282.9558244577383,279.26242082257977,BOT
7,290.34775565128206,290.26162214579716,BOT
8,179.14481528093376,185.89406502406197,TSU
9,139.09953197345445,140.16457551811666,TSU
10,250.39864573548658,247.06866782652125,BOT
11,287.9993335954286,287.2088146120387,BOT
12,298.26495300334864,295.29742869942856,BOT
13,278.38408875018314,277.51388890864195,BOT
14,294.43725165640103,293.3192190118138,BOT
15,292.3334994773333,296.791170831746,TSU
16,250.07106082294055,255.24440532565038,TSU
17,220.89962191515153,221.7427174477771,TSU
18,275.8942934421899,273.60696636613756,BOT
19,298.8330002773333,294.5586763811377,BOT
20,298.1639562180665,295.6610647279012,BOT
21,232.19648359386397,236.4964632143716,TSU
22,256.9784399521658,253.4903980609936,BOT
23,138.86783164096352,140.00249766262746,TSU
24,212.29737035373404,207.75610319096975,BOT
25,257.0500032,256.29999999999995,BOT
