Minisector,BOT,HAM,Fastest
0,319.7487155729323,317.2037499352381,BOT
1,327.2125,323.55041664,BOT
2,323.8370699936508,325.7548245333333,HAM
3,167.34453977512507,173.57364994800514,HAM
4,140.01978873924799,140.19400462414194,HAM
5,271.47310970289703,270.85117226748736,BOT
6,302.02810759164976,298.4028143768522,BOT
7,315.2281250666666,309.88083322666665,BOT
8,249.51784271992773,261.88739051959413,HAM
9,156.3597515229451,163.580154059243,HAM
10,224.86050862983322,233.9430611569097,HAM
11,232.23747350823774,238.60569959267397,HAM
12,210.57481695792904,213.69454306933415,HAM
13,279.19873238260874,276.40731102709645,BOT
14,310.0471175136869,303.83757152701014,BOT
15,316.6817981192982,316.98564361539565,HAM
16,260.91475595555556,266.9102912380952,HAM
17,215.5724509335409,227.1527929237806,HAM
18,277.9448055757576,279.97205126926406,HAM
19,308.58509902509945,306.7816538779249,BOT
20,321.7124060551379,318.1139582933333,BOT
21,306.2959092364648,306.8136526392766,HAM
22,219.52032028899833,226.42850794255259,HAM
23,273.5589885866329,274.9778745737115,HAM
24,306.2400794920635,304.1430217596961,BOT
25,,312.8666672,HAM
