Minisector,SAI,GAS,Fastest
0,306.1090291120558,308.6804200599066,GAS
1,238.2649723265416,214.67347367800454,SAI
2,124.97754412441913,131.27614449973785,GAS
3,212.89309858209515,213.3398405980952,GAS
4,260.64234403026,261.3411242659132,GAS
5,286.2528661033053,290.23647920522876,GAS
6,299.71031172661066,304.44149682176874,GAS
7,286.5916964392808,271.6837041361164,SAI
8,169.94699469530377,163.60271871788362,SAI
9,234.70470705270003,232.4522770443197,SAI
10,271.6692595437037,271.1268572657321,SAI
11,262.8830445890727,254.95943232120302,SAI
12,205.14093081081484,196.487243876262,SAI
13,111.5707832507889,125.40642194617827,GAS
14,123.2776818573787,117.04229239053005,SAI
15,159.23696636733075,164.43412645985924,GAS
16,130.4952389563148,121.05654974416407,SAI
17,226.2412501937778,220.71625129408017,SAI
18,175.3302540165661,173.57389559626537,SAI
19,156.23885904653062,147.48246340118038,SAI
20,243.63694375501836,241.55618344365425,SAI
21,273.5044203112522,277.1775892292833,GAS
22,289.4434870420569,300.5275297281793,GAS
23,298.9226588342857,314.67987707532467,GAS
24,303.1158333866667,320.31593861781647,GAS
25,,323.79499904,GAS
