Minisector,RUS,VER,Fastest
0,298.9960631541935,281.7045570957453,RUS
1,151.975642219457,152.4948914343977,VER
2,148.89403596463887,148.06433465868784,RUS
3,231.04923167463463,224.09686910121636,RUS
4,287.79384399627924,286.36815716173913,RUS
5,291.6414963309421,287.0989490908124,RUS
6,138.6952646061343,139.42942630762528,VER
7,137.17001312063664,136.26991334070652,RUS
8,131.5904682374677,131.70819699463163,VER
9,187.0855327733858,185.88019189388746,RUS
10,129.9139095780752,128.27191976371805,RUS
11,122.09201271988637,119.04156717749127,RUS
12,167.89272902750278,164.8166050531777,RUS
13,270.28145857333334,267.54800482709607,RUS
14,294.452595978836,292.24316285925596,RUS
15,142.36803073101552,151.65223413103718,VER
16,205.40899258637558,203.74129315043,RUS
17,173.16034407907688,172.67771977146631,RUS
18,270.245056405008,269.57205858416586,RUS
19,294.4419982060606,293.171235224127,RUS
20,309.99528268900906,307.6064753376266,RUS
21,319.2197147119192,316.80624994285716,RUS
22,324.94278298588245,321.76626701931974,RUS
23,328.0118054806349,325.3809523163059,RUS
24,326.6461706768254,324.0182256399093,RUS
25,328.0,,RUS
