Minisector,PIA,NOR,Fastest
0,299.2296970354545,298.6936787753873,PIA
1,305.6160056532383,308.51352498966133,NOR
2,308.62339573048126,313.2302528485498,NOR
3,302.19914682539684,296.54791005291,PIA
4,172.91500081574605,163.29680094406132,PIA
5,215.51718338686817,209.09905325033586,PIA
6,245.51820669018633,239.53935890241547,PIA
7,271.15977745775325,269.91048585200764,PIA
8,261.3758834527442,249.6199295619727,PIA
9,169.49386663449354,167.15438542713468,PIA
10,224.8332769341082,224.565370203367,PIA
11,135.00481511698095,131.89156317232013,PIA
12,232.85445702216177,232.74337811875776,PIA
13,181.08650312622333,179.51526773289436,PIA
14,221.57684891927275,219.1964434873957,PIA
15,249.26826578434898,247.3196691595985,PIA
16,270.74850894857144,268.27823229714284,PIA
17,288.419704892506,290.836505821645,NOR
18,157.9105687597279,171.48972281678002,NOR
19,179.11075612164257,172.86594676509338,PIA
20,143.52062682617853,144.97755886948505,NOR
21,236.037381277308,236.06334577662395,NOR
22,267.7938158135338,268.4365864113617,NOR
23,258.0944134433417,257.62367120334386,PIA
24,279.9615820746572,281.50680976430976,NOR
25,,293.2500010666667,NOR
