Minisector,PIA,HAM,Fastest
0,276.0259317754386,276.66711244865496,HAM
1,301.20754797603564,309.8251037933333,HAM
2,314.57280998643273,331.3319752,HAM
3,321.1252232,342.20424134564104,HAM
4,322.95416666666665,344.9798610666667,HAM
5,325.5904761904762,343.4867950605128,HAM
6,219.35955008689342,228.24394876099677,HAM
7,107.26177128760173,106.51883841475956,PIA
8,177.4568503128836,185.01606976507935,HAM
9,258.29082369866944,265.9372155380678,HAM
10,289.68583118714287,296.44410792318166,HAM
11,159.37324258935766,176.87481967975066,HAM
12,93.0503799116308,94.05877072332784,HAM
13,117.14367254922202,115.60879348459085,PIA
14,222.9895014447802,217.81966243494483,PIA
15,193.25244175283268,183.623943142575,PIA
16,223.90865729513825,220.28881323776108,PIA
17,182.35493983288887,181.45413071012348,PIA
18,241.43647824874677,225.2082051657143,PIA
19,279.6944912366578,272.5847412527592,PIA
20,261.61710557262035,250.41434523883044,PIA
21,148.77158894895717,146.58974057876583,PIA
22,97.68824391903081,96.67946886645215,PIA
23,123.93836229938967,125.34739919391845,HAM
24,228.4445801760584,217.616419724433,PIA
25,,256.891499328,HAM
