Minisector,VET,RIC,Fastest
0,267.5128134790148,266.676782883536,VET
1,129.48903428993637,137.0726947606997,RIC
2,200.656002362292,201.03509818324017,RIC
3,250.49417123220232,250.47757994829018,VET
4,264.2025578072658,261.8020822857143,VET
5,173.07805855700605,175.8259756744353,RIC
6,142.35569847796899,145.31978797569573,RIC
7,183.39871334419834,181.394138531985,VET
8,100.06488931323997,103.96147575963906,RIC
9,72.93139594008987,73.50255852075865,RIC
10,93.73847195072713,93.88185241397503,RIC
11,182.8733216605777,178.15481652012247,VET
12,248.06122401088436,247.89123544931863,VET
13,271.26603503569635,272.5849418473571,RIC
14,282.6308991748247,285.903409729334,RIC
15,117.21595383131825,126.8343858990338,RIC
16,142.61169641085024,129.1607278842943,VET
17,181.31651829333333,189.11393736136682,RIC
18,197.69217585202875,198.95963737932146,RIC
19,200.03645363641857,219.42237262556375,RIC
20,129.64794721492981,137.0792530644374,RIC
21,109.5005810486907,120.52467105355134,RIC
22,94.82238950525048,88.62963626737755,VET
23,197.07777860045877,189.34223400847634,VET
24,253.20322454941004,248.64305154405017,VET
25,268.1666666666667,265.57788097451385,VET
