Minisector,RUS,LAW,Fastest
0,312.8318408972542,314.86271990891356,LAW
1,241.8961835017489,216.87211483078238,RUS
2,133.19505103866814,128.19964133169324,RUS
3,218.0485471855639,213.1982028158373,RUS
4,266.18781357360854,261.8467103515844,RUS
5,291.56322316900366,290.5954955962437,RUS
6,307.6744067213507,309.46306947848,LAW
7,282.6954605180953,279.24135208693076,RUS
8,170.1820670012766,173.51987099732497,LAW
9,237.42896666442914,243.89974266006348,LAW
10,273.5345652111246,272.7170447345647,RUS
11,260.8372445446356,256.08394314884356,RUS
12,206.167099438376,200.04211673007288,RUS
13,122.78762251640212,120.34130507372822,RUS
14,123.35452731001153,125.02833052423918,LAW
15,166.08127421159472,144.72061176823425,RUS
16,123.61017166078958,137.8145754993029,LAW
17,226.8150373491707,222.52692982856212,RUS
18,183.6371940519865,162.0946577201676,RUS
19,161.96234646390363,173.92663585400263,LAW
20,242.99955481931042,249.1684197126526,LAW
21,274.6516893192982,275.3744026668742,LAW
22,292.9543079857143,297.1823846761477,LAW
23,303.4588629490554,316.8551968062745,LAW
24,309.25541686704764,328.4534905328572,LAW
25,311.0,,RUS
