Minisector,VER,COL,Fastest
0,316.34120051976106,312.4046229783252,VER
1,329.7030375938788,328.8859792224414,VER
2,334.5342040162757,332.73608513196956,VER
3,312.3937689780947,302.0646193366667,VER
4,156.08026555974814,149.69621185104663,VER
5,192.1657346457654,191.38287075710457,VER
6,216.53580239338476,208.48686505221428,VER
7,262.85183032549895,254.82804735649833,VER
8,234.07600232218465,228.39330774030879,VER
9,155.70797207985424,145.02615174217965,VER
10,214.52332213022194,200.99329260432285,VER
11,124.90776477529302,114.76188306947593,VER
12,234.00387890894007,233.31134442870797,VER
13,166.28595990815333,185.8815867812509,COL
14,208.68902008698637,197.95838042556628,VER
15,213.1424006148613,213.7041399348748,COL
16,255.07989161443317,245.9264232018542,VER
17,294.37440358976045,286.40291650855806,VER
18,142.92671797643493,144.94554760671454,COL
19,156.5590537210723,150.56199371037465,VER
20,137.97285968306412,129.65362069741838,VER
21,227.80991440876488,213.855911097736,VER
22,249.22493723579473,244.23089828314554,VER
23,235.9969967186004,225.9761698565078,VER
24,283.0825452780984,274.42433518250965,VER
25,,300.854168,COL
