Minisector,LEC,PER,Fastest
0,117.09436384594466,100.27035316906012,LEC
1,146.60018370460494,120.76656966227941,LEC
2,166.17480401269842,187.97759682926483,PER
3,106.0529579,154.8776862594755,PER
4,144.34096543914265,121.2779761904762,LEC
5,195.3457164393851,211.79364644369343,PER
6,153.95975569909567,242.07018985249542,PER
7,140.83906153333334,136.59133333333332,LEC
8,143.8127265485781,131.09869051732412,LEC
9,144.18509663218737,185.82117794486214,PER
10,182.5625706015319,233.35572847881136,PER
11,152.4552532306218,253.7257780043956,PER
12,148.3749981217391,224.08918914643365,PER
13,184.42648965498842,222.94166666666666,PER
14,201.70889700947086,118.0580015106521,LEC
15,155.6184806995671,129.28071227723947,LEC
16,118.64945369011305,101.50221114830788,LEC
17,94.4375598737661,96.14599632870815,PER
18,112.47154094812304,173.39264292483873,PER
19,121.63846462528736,178.00738037982646,PER
20,141.21260877523284,193.6140350877193,PER
21,197.59208488515404,201.82338255740353,PER
22,153.81595135934433,205.95801592375145,PER
23,172.73148311289793,90.23072868629193,LEC
24,220.271092,90.55732227202077,LEC
25,,148.3064793609745,PER
