Minisector,VER,HAD,Fastest
0,326.59965120701327,322.7088282828283,VER
1,336.50178810561323,334.69601850158733,VER
2,333.4646033192868,335.95399117754386,HAD
3,196.75084418054155,195.12926659337867,VER
4,131.18539534908004,123.57399804165456,VER
5,268.491780004794,266.34734963776424,VER
6,304.30483539694086,303.1939855072464,VER
7,318.1723824323882,317.53596154943153,VER
8,276.91826212052877,256.8196160161095,VER
9,146.05216030795134,146.48468807831347,HAD
10,224.3679398578597,220.91486655320628,VER
11,233.82846511501307,230.8757550532702,VER
12,207.8747975911549,205.68183128751062,VER
13,279.8365956519712,275.7092947330447,VER
14,311.86754808990474,310.75206840259835,VER
15,324.9116439448068,324.3353436734157,VER
16,278.715478367205,254.1891830830769,VER
17,223.43620464738538,224.29881325029433,HAD
18,279.1155193164001,282.88193650771564,HAD
19,312.8263753004572,313.6736131316455,HAD
20,324.67341047308645,324.85980392156864,HAD
21,309.6096542098551,285.7926154170629,VER
22,227.65936809011168,213.56649561221656,VER
23,275.76631634108355,271.865302751151,VER
24,309.8683783803896,308.460620597595,VER
