Minisector,NOR,GAS,Fastest
0,288.9807528235615,283.73920494545456,NOR
1,301.3560127612174,298.1104165333333,NOR
2,305.67104165333336,303.6355159873016,NOR
3,306.9124615171006,307.01666672,GAS
4,246.29971690931677,251.70075110545142,GAS
5,194.55693818902503,190.15654970842047,NOR
6,258.1581784937098,255.97937682246052,NOR
7,279.2325672778504,281.04020112384,GAS
8,214.2519598618502,202.64074551152072,NOR
9,211.23964029729382,212.45993733374763,GAS
10,136.67105703198547,140.89161038439127,GAS
11,246.3158143971812,246.0041697019874,NOR
12,275.91111175247016,274.61475343769223,NOR
13,218.15351667640257,219.0196739006084,GAS
14,262.2002417366886,261.969047115528,NOR
15,226.55921035910424,225.71866156190475,NOR
16,181.37830044151244,180.64390297060518,NOR
17,258.584958402202,256.2238193808965,NOR
18,149.71004265494506,145.83597330722503,NOR
19,207.8007444442239,212.8571612523814,GAS
20,274.4152618402646,272.5282876589569,NOR
21,290.7227238130066,290.719160814188,NOR
22,162.2436945016544,156.89046637424275,NOR
23,178.85373919146136,177.9650665581123,NOR
24,258.2976419248527,257.3100699711303,NOR
25,278.7375008,,NOR
