Minisector,VER,TSU,Fastest
0,291.5421192389417,286.6149453078261,VER
1,303.06282283318563,296.14850515547334,VER
2,308.19947701125545,301.58594910419754,VER
3,309.5580247308642,302.6419966632738,VER
4,204.03522786349205,186.40519988834055,VER
5,213.41766691294782,213.07311622913582,VER
6,264.6188975987586,262.671190156991,VER
7,270.6604552290899,265.0908482230504,VER
8,191.95796896218744,186.0225839387496,VER
9,156.25803784534932,156.003700049285,VER
10,186.10747599938696,177.7245412905681,VER
11,258.87895426053313,254.86792259972609,VER
12,253.865617442643,248.11058509628117,VER
13,230.91774928422362,225.59214486165655,VER
14,272.35922128269675,262.16738507843036,VER
15,164.69973681265225,176.19895548,TSU
16,215.25850129628867,210.091636744903,VER
17,241.53443641154325,244.7119973132275,TSU
18,137.18489649543858,131.96968400317292,VER
19,237.17157252551112,228.4991933388818,VER
20,276.7473985077414,273.0633089636806,VER
21,246.36963471559284,271.56969956,TSU
22,142.8267935401888,139.0818361195205,VER
23,213.0007978353131,200.4195382852726,VER
24,268.6408946303548,262.0438413811255,VER
25,282.47142765714284,279.89166577777775,VER
