Minisector,ZHO,GAS,Fastest
0,285.41167114848486,291.16911889657916,GAS
1,294.44905525472063,302.48463241322634,GAS
2,298.34288356923076,309.18467787114844,GAS
3,294.8105368737866,299.4408383461587,GAS
4,166.68033662634832,163.6903141516199,ZHO
5,199.36444111596248,203.36967372465793,GAS
6,225.01387147470408,233.78311194653298,GAS
7,256.756945487756,263.18429630319696,GAS
8,249.15352945973146,256.361,GAS
9,159.34255703285714,158.91236408263754,ZHO
10,224.08448190049492,218.96278950724638,ZHO
11,128.66082126915757,130.3527298856819,GAS
12,223.57372023458228,223.93325396825398,GAS
13,178.166528935602,182.06565916680154,GAS
14,210.0301774191544,201.07730848861283,ZHO
15,233.91114363705628,230.38862005171313,ZHO
16,256.20491931605795,258.20329166666664,GAS
17,279.19934632082163,279.8721308584795,GAS
18,152.0353834518404,154.8274881652129,GAS
19,162.18129451470165,159.02108950794027,ZHO
20,142.42778049655146,138.023728836997,ZHO
21,225.3208166727901,229.88608257457062,GAS
22,252.86482982399997,262.3241987096225,GAS
23,237.88971386095236,246.6288976778166,GAS
24,267.44115761002627,271.3666666666667,GAS
25,278.6,284.8812496,GAS
