Minisector,ALB,BOR,Fastest
0,324.7023598998467,326.5383036398143,BOR
1,332.81511911788357,336.86925006019044,BOR
2,337.0171905391746,334.58525525131023,ALB
3,206.76002079932772,195.00319196270607,ALB
4,132.74774150312552,133.32883800315247,BOR
5,267.98600878517345,264.63615120177917,ALB
6,301.9853769343066,305.51195351625256,BOR
7,314.29627532121214,320.74523311725125,BOR
8,284.23335545439704,280.84812805435536,ALB
9,148.50584109221285,146.29529021187682,ALB
10,225.13984856503998,227.76314575567315,BOR
11,229.9559269837617,222.75179514144386,ALB
12,206.72895379490325,201.28407466432404,ALB
13,273.02099950450986,270.8741914836556,ALB
14,306.86671739968784,308.7463065228833,BOR
15,316.300069073325,324.5607264419008,BOR
16,277.1376053295037,275.7119228310534,ALB
17,222.17075007264367,205.03015655528355,ALB
18,281.3759880925339,277.4781327670857,ALB
19,310.94181167141346,310.9768108166093,BOR
20,323.9057017035923,325.53492680258677,BOR
21,316.10023137122806,313.62254566529265,ALB
22,220.12009641858725,213.18039067397987,ALB
23,268.51357551826084,273.0841814351415,BOR
24,306.307559115099,308.460750735507,BOR
25,316.26944426666665,319.9611114666667,BOR
