Minisector,SAI,STR,Fastest
0,278.4627191690949,274.56225068046894,SAI
1,298.46063797457543,297.1445657859048,SAI
2,297.38909087996166,294.80568935045204,SAI
3,193.88822444198385,174.59539014466316,SAI
4,121.984666765497,118.21018292718833,SAI
5,236.58592106691006,236.43238028865002,SAI
6,280.35137640221177,280.91240261750204,STR
7,295.906988228598,294.8896258744985,SAI
8,191.68485846232718,181.88769277860166,SAI
9,148.69951110924617,148.7808205691995,STR
10,253.1794368720366,251.22135650083246,SAI
11,289.5686260197464,288.78259687663217,SAI
12,303.45206535966247,298.2004344198347,SAI
13,288.3587500380952,280.4117316274538,SAI
14,297.7086239698866,294.28167499304453,SAI
15,292.8340896026446,295.53059517667526,STR
16,262.5459764050832,244.95173278018214,SAI
17,241.05963096684607,229.03204365335506,SAI
18,277.6991253399586,276.4330414397433,SAI
19,296.4695597371237,297.9342520720665,STR
20,300.86662917591497,299.495979472,SAI
21,249.39170000377132,237.89159076073238,SAI
22,269.4359607564199,264.3729045036903,SAI
23,145.45113951455252,137.61680596840776,SAI
24,224.00800608611348,217.1610612354492,SAI
