Minisector,LEC,ALB,Fastest
0,262.32087237756616,260.76704837602466,LEC
1,138.9479312019986,135.56710515289137,LEC
2,209.02303761568626,198.46514295636365,LEC
3,246.11569408,247.2528774181627,ALB
4,262.02767862857144,259.0341624043537,LEC
5,185.6594126167726,179.43571984161616,LEC
6,150.84547776284444,150.26031971579525,LEC
7,188.83888750768165,183.00099051827664,LEC
8,107.22384905052607,102.04348039306947,LEC
9,72.87399600925689,71.01098990767132,LEC
10,97.87944471855202,96.37246223533575,LEC
11,188.4367531041666,186.91171927945578,LEC
12,245.15230601910142,247.8823892622222,ALB
13,267.8330948495238,270.64076342160905,ALB
14,278.2319598065934,282.50875022908684,ALB
15,107.37423197174449,120.31172260720217,ALB
16,158.95016494574904,162.01448359186517,ALB
17,191.87739541809336,187.28312009035923,LEC
18,205.63221768973546,199.57604098456173,LEC
19,220.93432529837534,213.6260114629264,LEC
20,141.87544680317018,141.7424919,LEC
21,108.99187526636364,112.26491921269842,ALB
22,101.88320769278819,97.98603937579222,LEC
23,190.85127374486217,200.2457303245791,ALB
24,251.32992007111113,248.16382883333333,LEC
25,,264.9916672,ALB
