Minisector,PER,ALO,Fastest
0,290.70773720474307,289.46766132155847,PER
1,168.7522717838471,153.9176030374687,PER
2,169.4308009056956,173.66972794766082,ALO
3,253.06197973190805,253.8885866381215,ALO
4,288.88089034825975,288.0267858943723,PER
5,255.3402443894346,247.59232629629628,PER
6,227.22957825800864,228.28341334857143,ALO
7,153.37076327215314,160.32717017522197,ALO
8,224.64164938119148,228.42307142942497,ALO
9,280.65515687860926,279.44654237310243,PER
10,300.71560709956714,298.87310959236777,PER
11,309.7414248547279,307.5644607843137,PER
12,312.4331140491228,309.82282988888886,PER
13,308.7440260796372,308.0025999975064,PER
14,139.1760674136744,131.47350513125363,PER
15,120.10754292696613,121.45101844194213,ALO
16,98.26711478037784,102.58068693957905,ALO
17,232.26674003431174,230.47183049812247,PER
18,285.449057283958,287.95565805761146,ALO
19,310.0192933677823,306.3695086282215,PER
20,319.58169451555557,315.40038055820764,PER
21,323.3860227239506,320.3324305422222,PER
22,128.547052654325,132.6276861954977,ALO
23,203.2709229237839,196.87684172895376,PER
24,269.38200145463344,267.67237633809157,PER
25,284.22000128,281.7157116354253,PER
